# File: Vestas Climate Library time series data
# Disclaimer: Please be aware that the climate data provided here is derived from numerical models, which have inherent uncertainties and limitations. 
#             The data should be used with caution, considering the model's resolution, potential biases, and uncertainties. 
#             Expert consultation, thorough validation, and an understanding of the data's quality are essential for responsible use and decision-making. 
#             Vestas does not assume any responsibilities for the values contained in the VCL data and any calculations or assumptions that may be derived from them.
# License: Vestas Wind Systems A/S
#
# Created: 2023-12-06 19:15:08
# Location (WGS84):
# Requested minimum longitude [decimal degrees E]: 33.34
# Requested minimum latitude [decimal degrees N]: 26.22639
# Requested maximum longitude [decimal degrees E]: 34.36959
# Requested maximum latitude [decimal degrees N]: 27.05463
#
xlat,xlong,swdown_avg,t2_avg,tkepbl_avg_30.0,wsp_avg_30.0,t2_max,sst_min
26.968845,33.513428,277.785477,292.307704,0.5967224475,8.9406822471,310.96,0.00
26.980423,34.278015,261.546861,298.180663,0.2917244097,8.5924553371,307.00,294.28
26.883987,34.144592,262.511105,298.164664,0.3034973712,8.7683989773,307.60,294.24
26.537704,33.464844,275.197817,295.645472,0.4051676632,5.5707099355,317.88,0.00
26.672123,33.784668,270.575063,297.445770,0.5337988103,7.7640157016,318.41,0.00
26.515903,33.705933,272.906130,295.581982,0.4577566741,6.6812373792,316.41,0.00
26.626694,33.383484,275.254876,295.878644,0.4242124238,6.3464461943,317.91,0.00
26.657265,34.240051,262.889841,298.272796,0.3157121418,8.8142146721,306.62,294.19
26.762199,34.282867,262.385467,298.230268,0.3101891452,8.8195202833,307.63,294.26
26.438843,34.244965,263.228196,298.263710,0.2747508229,8.0196456161,307.77,294.10
26.898849,33.383484,276.958805,294.993876,0.5424987200,8.0704754149,315.82,0.00
26.652733,33.995728,263.368884,298.609712,0.2651362420,7.7542551600,313.02,286.03
26.575455,33.347290,274.574849,295.913010,0.4007861815,5.8473162499,318.81,0.00
26.291100,34.075653,268.619969,296.679830,0.4323401070,6.8422194212,318.32,0.00
26.823307,33.618958,274.088016,294.906246,0.5331869890,8.2209559915,314.57,0.00
27.025051,33.794586,269.653310,297.527293,0.4569791364,7.5813629668,317.16,0.00
26.852966,33.591858,274.991927,294.585193,0.5203993151,8.0330702461,313.99,0.00
26.433189,34.305176,263.026335,298.270540,0.2824225388,8.2008739229,307.24,294.16
26.548496,33.344299,274.654777,295.755181,0.3841352042,5.5077701761,319.02,0.00
26.482674,34.067413,266.678428,297.787089,0.4022269842,6.9613718578,318.33,0.00
26.460155,34.308350,262.973733,298.278042,0.2876003154,8.2972663063,307.55,294.18
26.760517,34.008209,263.274997,298.396257,0.2854512703,8.4846143352,308.87,294.22
26.889603,34.084229,262.727982,298.127570,0.2985027099,8.6752377305,308.60,294.24
26.547710,33.953156,268.334235,297.882812,0.4170029069,6.6245797045,317.94,0.00
26.564671,33.467896,275.400100,295.664005,0.4158487719,6.0493770755,318.33,0.00
26.340775,33.533997,274.175735,295.680182,0.4326000038,5.9191568725,317.43,0.00
